time_sec,Section,sats,time,lat,long,velocity,afr,heading,height,FixType,accelX,accelY,accelZ,accelSqrt,gyroX,gyroY,gyroZ,magX,magY,magZ,mDirection,Time_ms
41700,Practice,16,41700.0,797.815764,-6054.254748,0.097,8.86818244869051,58.299,5.923,3,0,0,0,0,0,0,0,0,0,0,0,0
41701,Practice,16,41700.55,797.815758,-6054.25476,0.126,9.274729438254749,58.299,5.957,3,0,0,0,0,0,0,0,0,0,0,0,0
41702,Practice,16,41701.5,797.815746,-6054.254778,0.378,8.512305551098894,58.299,5.963,3,0,0,0,0,0,0,0,0,0,0,0,0
41703,Practice,16,41702.55,797.815752,-6054.254802,0.086,9.058437120928062,58.299,5.994,3,0,0,0,0,0,0,0,0,0,0,0,0
41704,Practice,16,41703.5,797.815758,-6054.25482,0.05,8.905694734312627,58.299,6.036,3,0,0,0,0,0,0,0,0,0,0,0,0
41705,Practice,16,41704.55,797.815764,-6054.254832,0.209,9.118525934303545,58.299,6.124,3,0,0,0,0,0,0,0,0,0,0,0,0
41706,Practice,16,41705.5,797.815776,-6054.25485,0.216,8.992534654034118,58.299,6.15,3,0,0,0,0,0,0,0,0,0,0,0,0
41707,Practice,16,41706.55,797.815776,-6054.254868,0.256,8.946977028642761,58.299,6.234,3,0,0,0,0,0,0,0,0,0,0,0,0
41708,Practice,16,41707.5,797.815794,-6054.25488,0.184,9.125065272557816,58.299,6.292,3,0,0,0,0,0,0,0,0,0,0,0,0
41709,Practice,16,41708.55,797.815782,-6054.254892,0.259,9.100786450382683,58.299,6.351,3,0,0,0,0,0,0,0,0,0,0,0,0
41710,Practice,16,41709.5,797.815782,-6054.254904,0.162,9.288880248057865,58.299,6.353,3,0,0,0,0,0,0,0,0,0,0,0,0
41711,Practice,16,41710.55,797.815794,-6054.254916,0.137,8.555292609437313,58.299,6.399,3,0,0,0,0,0,0,0,0,0,0,0,0
41712,Practice,16,41711.5,797.815794,-6054.254922,0.158,8.911803291674508,58.299,6.468,3,0,0,0,0,0,0,0,0,0,0,0,0
41713,Practice,16,41712.55,797.816016,-6054.254718,3.474,9.0482078766166,316.765,6.529,3,0,0,0,0,0,0,0,0,0,0,0,0
41714,Practice,16,41713.5,797.816592,-6054.25416,6.955,9.80569498090939,316.909,6.44,3,0,0,0,0,0,0,0,0,0,0,0,0
41715,Practice,16,41714.55,797.817432,-6054.253326,8.017,9.894511988439367,315.333,6.283,3,0,0,0,0,0,0,0,0,0,0,0,0
41716,Practice,16,41715.5,797.818302,-6054.25251,10.328,9.867198163427268,315.418,6.051,3,0,0,0,0,0,0,0,0,0,0,0,0
41717,Practice,16,41716.55,797.81943,-6054.2514,9.511,10.154136545424842,313.312,5.808,3,0,0,0,0,0,0,0,0,0,0,0,0
41718,Practice,16,41717.5,797.820408,-6054.250368,11.333,10.035809801152617,314.531,5.653,3,0,0,0,0,0,0,0,0,0,0,0,0
41719,Practice,16,41718.55,797.822034,-6054.248718,16.639,10.48817980108858,314.64,5.717,3,0,0,0,0,0,0,0,0,0,0,0,0
41720,Practice,16,41719.5,797.82405,-6054.246828,20.354,11.71542239908127,317.889,5.667,3,0,0,0,0,0,0,0,0,0,0,0,0
41721,Practice,16,41720.55,797.826474,-6054.2445,21.233,11.52592550183128,315.223,5.538,3,0,0,0,0,0,0,0,0,0,0,0,0
41722,Practice,16,41721.5,797.828622,-6054.242364,20.434,11.505295839316164,314.44,5.476,3,0,0,0,0,0,0,0,0,0,0,0,0
41723,Practice,16,41722.55,797.830782,-6054.240336,18.497,11.027522920190934,319.004,5.27,3,0,0,0,0,0,0,0,0,0,0,0,0
41724,Practice,16,41723.65,797.833212,-6054.237978,21.157,11.268635042618603,319.844,4.843,3,0,0,0,0,0,0,0,0,0,0,0,0
41725,Practice,16,41724.65,797.835462,-6054.235794,20.257,11.133826623212432,316.053,4.81,3,0,0,0,0,0,0,0,0,0,0,0,0
41726,Practice,16,41725.65,797.837502,-6054.233772,17.806,10.798004396019168,315.473,4.956,3,0,0,0,0,0,0,0,0,0,0,0,0
41727,Practice,16,41726.6,797.839266,-6054.23208,16.232,10.630971931193551,317.122,5.029,3,0,0,0,0,0,0,0,0,0,0,0,0
41728,Practice,16,41727.5,797.840646,-6054.23076,12.521,10.569349825065869,317.577,5.24,3,0,0,0,0,0,0,0,0,0,0,0,0
41729,Practice,16,41728.55,797.84211,-6054.229326,13.558,10.660969052542118,316.605,5.38,3,0,0,0,0,0,0,0,0,0,0,0,0
41730,Practice,16,41729.5,797.843748,-6054.227724,17.392,10.929051650115644,316.092,5.554,3,0,0,0,0,0,0,0,0,0,0,0,0
